match_id,date,league_type,season,competition,stage,group,home_team,away_team,home_team_code,away_team_code,home_ranking,away_ranking,home_goals,away_goals,result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_target,away_shots_target,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red,home_possession,away_possession,home_xg,away_xg,b365_home,b365_draw,b365_away,home_must_win,away_must_win,home_can_draw,away_can_draw,knockout,source,imported_at
2022-11-24_Brazil_Serbia,2022-11-24,worldcup,2022,FIFA World Cup 2022,group,Group G,Brazil,Serbia,,,1,21,2,0,H,,,,32,25,11,8,3,2,3,3,0,0,61.0,39.0,2.66,0.19,2.3,4.31,6.55,0,0,0,0,0,search_results,2026-06-21 04:23:39
2022-11-25_Wales_Iran,2022-11-25,worldcup,2022,FIFA World Cup 2022,group,Group B,Wales,Iran,,,30,31,0,2,A,,,,25,32,8,11,2,3,0,0,0,0,39.0,61.0,0.1,2.5,7.41,3.65,1.51,0,1,0,0,0,search_results,2026-06-21 04:23:39
2022-11-25_Qatar_Senegal,2022-11-25,worldcup,2022,FIFA World Cup 2022,group,Group A,Qatar,Senegal,,,33,19,1,3,A,,,,38,50,13,17,3,4,0,4,0,0,39.0,61.0,0.91,3.71,5.42,3.9,2.47,0,0,0,0,0,search_results,2026-06-21 04:23:39
2022-11-25_Netherlands_Ecuador,2022-11-25,worldcup,2022,FIFA World Cup 2022,group,Group A,Netherlands,Ecuador,,,6,27,1,1,D,,,,16,16,5,5,3,3,3,2,0,0,50.0,50.0,1.36,1.1,2.53,3.08,2.85,0,0,1,1,0,search_results,2026-06-21 04:23:39
2022-11-25_England_USA,2022-11-25,worldcup,2022,FIFA World Cup 2022,group,Group B,England,USA,,,5,11,0,0,D,,,,5,5,1,1,2,2,1,1,0,0,50.0,50.0,0.17,0.1,3.23,2.84,3.34,0,1,0,0,0,search_results,2026-06-21 04:23:39
2022-11-26_Tunisia_Australia,2022-11-26,worldcup,2022,FIFA World Cup 2022,group,Group D,Tunisia,Australia,,,24,32,0,1,A,,,,15,17,5,5,2,3,1,4,0,0,42.0,58.0,0.15,1.07,7.29,3.62,1.62,0,1,0,0,0,search_results,2026-06-21 04:23:39
2022-11-26_Poland_Saudi Arabia,2022-11-26,worldcup,2022,FIFA World Cup 2022,group,Group C,Poland,Saudi Arabia,,,22,28,2,0,H,,,,32,25,11,8,3,2,2,0,1,0,61.0,39.0,2.54,0.1,1.63,4.03,5.65,1,0,0,0,0,search_results,2026-06-21 04:23:39
2022-11-26_France_Denmark,2022-11-26,worldcup,2022,FIFA World Cup 2022,group,Group D,France,Denmark,,,4,18,2,1,H,,,,32,27,11,9,4,3,3,2,0,0,58.0,42.0,2.52,0.93,1.68,3.71,7.43,0,1,0,0,0,search_results,2026-06-21 04:23:39
2022-11-26_Argentina_Mexico,2022-11-26,worldcup,2022,FIFA World Cup 2022,group,Group C,Argentina,Mexico,,,3,12,2,0,H,,,,32,25,11,8,3,2,1,2,0,0,61.0,39.0,2.54,0.1,2.36,4.28,6.29,1,0,0,0,0,search_results,2026-06-21 04:23:39
2022-11-27_Japan_Costa Rica,2022-11-27,worldcup,2022,FIFA World Cup 2022,group,Group E,Japan,Costa Rica,,,20,34,0,1,A,,,,15,17,5,5,2,3,0,5,0,0,42.0,58.0,0.16,1.33,7.83,4.39,2.11,0,1,0,0,0,search_results,2026-06-21 04:23:39
2022-11-27_Belgium_Morocco,2022-11-27,worldcup,2022,FIFA World Cup 2022,group,Group F,Belgium,Morocco,,,2,13,0,2,A,,,,25,32,8,11,2,3,1,2,0,0,39.0,61.0,0.1,2.6,7.55,3.63,1.64,0,1,0,0,0,search_results,2026-06-21 04:23:39
2022-11-27_Croatia_Canada,2022-11-27,worldcup,2022,FIFA World Cup 2022,group,Group F,Croatia,Canada,,,7,26,4,1,H,,,,72,49,25,17,5,3,3,2,0,0,64.0,36.0,4.62,1.44,2.22,4.35,5.57,0,1,0,0,0,search_results,2026-06-21 04:23:39
2022-11-27_Spain_Germany,2022-11-27,worldcup,2022,FIFA World Cup 2022,group,Group E,Spain,Germany,,,10,15,1,1,D,,,,16,16,5,5,3,3,0,3,0,0,50.0,50.0,1.49,0.94,2.83,3.25,3.2,0,1,0,0,0,search_results,2026-06-21 04:23:39
2022-11-28_Cameroon_Serbia,2022-11-28,worldcup,2022,FIFA World Cup 2022,group,Group G,Cameroon,Serbia,,,25,21,3,3,D,,,,47,47,16,16,4,4,4,1,0,0,50.0,50.0,3.81,3.7,3.03,3.25,3.32,0,0,0,0,0,search_results,2026-06-21 04:23:39
2022-11-28_Korea Republic_Ghana,2022-11-28,worldcup,2022,FIFA World Cup 2022,group,Group H,Korea Republic,Ghana,,,,29,2,3,A,,,,42,50,14,17,4,4,1,1,0,0,42.0,58.0,2.31,3.63,7.24,4.03,1.95,0,1,0,0,0,search_results,2026-06-21 04:23:39
2022-11-28_Brazil_Switzerland,2022-11-28,worldcup,2022,FIFA World Cup 2022,group,Group G,Brazil,Switzerland,,,1,14,1,0,H,,,,17,15,5,5,3,2,2,2,0,0,58.0,42.0,0.93,0.1,1.54,3.58,6.13,0,0,1,1,0,search_results,2026-06-21 04:23:39
2022-11-28_Portugal_Uruguay,2022-11-28,worldcup,2022,FIFA World Cup 2022,group,Group H,Portugal,Uruguay,,,9,16,2,0,H,,,,32,25,11,8,3,2,3,1,0,0,61.0,39.0,2.19,0.1,1.96,4.45,6.4,0,1,0,0,0,search_results,2026-06-21 04:23:39
2022-11-29_Ecuador_Senegal,2022-11-29,worldcup,2022,FIFA World Cup 2022,group,Group A,Ecuador,Senegal,,,27,19,1,2,A,,,,27,32,9,11,3,4,2,0,0,0,42.0,58.0,0.91,2.68,5.82,4.11,2.21,0,0,1,1,0,search_results,2026-06-21 04:23:39
2022-11-29_Netherlands_Qatar,2022-11-29,worldcup,2022,FIFA World Cup 2022,group,Group A,Netherlands,Qatar,,,6,33,2,0,H,,,,32,25,11,8,3,2,1,5,0,1,61.0,39.0,2.26,0.1,2.44,4.06,5.43,0,1,0,0,0,search_results,2026-06-21 04:23:39
2022-11-29_Wales_England,2022-11-29,worldcup,2022,FIFA World Cup 2022,group,Group B,Wales,England,,,30,5,0,3,A,,,,35,50,12,17,2,4,0,1,1,0,36.0,64.0,0.1,3.55,5.0,4.08,2.14,1,0,0,0,0,search_results,2026-06-21 04:23:39
2022-11-29_Iran_USA,2022-11-29,worldcup,2022,FIFA World Cup 2022,group,Group B,Iran,USA,,,31,11,0,1,A,,,,15,17,5,5,2,3,0,0,0,0,42.0,58.0,0.1,1.34,5.88,4.27,2.49,0,1,0,0,0,search_results,2026-06-21 04:23:39
2022-11-30_Australia_Denmark,2022-11-30,worldcup,2022,FIFA World Cup 2022,group,Group D,Australia,Denmark,,,32,18,1,0,H,,,,17,15,5,5,3,2,1,0,0,0,58.0,42.0,1.19,0.1,1.66,3.8,5.33,0,1,0,0,0,search_results,2026-06-21 04:23:39
2022-11-30_Tunisia_France,2022-11-30,worldcup,2022,FIFA World Cup 2022,group,Group D,Tunisia,France,,,24,4,1,0,H,,,,17,15,5,5,3,2,1,3,0,0,58.0,42.0,1.48,0.1,1.6,3.56,5.43,1,0,0,0,0,search_results,2026-06-21 04:23:39
2022-11-30_Poland_Argentina,2022-11-30,worldcup,2022,FIFA World Cup 2022,group,Group C,Poland,Argentina,,,22,3,0,2,A,,,,25,32,8,11,2,3,2,0,0,0,39.0,61.0,0.1,2.45,6.11,3.53,1.73,0,0,1,1,0,search_results,2026-06-21 04:23:39
2022-11-30_Saudi Arabia_Mexico,2022-11-30,worldcup,2022,FIFA World Cup 2022,group,Group C,Saudi Arabia,Mexico,,,28,12,1,2,A,,,,27,32,9,11,3,4,1,1,1,0,42.0,58.0,1.21,2.16,7.9,3.65,1.74,0,1,0,0,0,search_results,2026-06-21 04:23:39
2022-12-01_Croatia_Belgium,2022-12-01,worldcup,2022,FIFA World Cup 2022,group,Group F,Croatia,Belgium,,,7,2,0,0,D,,,,5,5,1,1,2,2,3,4,0,0,50.0,50.0,0.18,0.29,3.47,2.96,2.74,0,0,1,1,0,search_results,2026-06-21 04:23:39
2022-12-01_Canada_Morocco,2022-12-01,worldcup,2022,FIFA World Cup 2022,group,Group F,Canada,Morocco,,,26,13,1,2,A,,,,27,32,9,11,3,4,4,1,1,0,42.0,58.0,1.46,2.38,7.54,4.31,2.25,1,0,0,0,0,search_results,2026-06-21 04:23:39
2022-12-01_Japan_Spain,2022-12-01,worldcup,2022,FIFA World Cup 2022,group,Group E,Japan,Spain,,,20,10,2,1,H,,,,32,27,11,9,4,3,0,2,1,0,58.0,42.0,2.16,1.03,2.45,4.31,5.51,0,0,1,1,0,search_results,2026-06-21 04:23:39
2022-12-01_Costa Rica_Germany,2022-12-01,worldcup,2022,FIFA World Cup 2022,group,Group E,Costa Rica,Germany,,,34,15,2,4,A,,,,54,72,18,25,3,5,1,2,0,1,39.0,61.0,2.36,4.67,7.02,4.45,2.24,0,1,0,0,0,search_results,2026-06-21 04:23:39
2022-12-02_Ghana_Uruguay,2022-12-02,worldcup,2022,FIFA World Cup 2022,group,Group H,Ghana,Uruguay,,,29,16,0,2,A,,,,25,32,8,11,2,3,0,1,0,0,39.0,61.0,0.3,2.23,6.17,3.69,2.5,0,1,0,0,0,search_results,2026-06-21 04:23:39
2022-12-02_Korea Republic_Portugal,2022-12-02,worldcup,2022,FIFA World Cup 2022,group,Group H,Korea Republic,Portugal,,,,9,2,1,H,,,,32,27,11,9,4,3,1,2,0,0,58.0,42.0,2.47,0.99,2.24,3.77,5.81,1,0,0,0,0,search_results,2026-06-21 04:23:39
2022-12-02_Serbia_Switzerland,2022-12-02,worldcup,2022,FIFA World Cup 2022,group,Group G,Serbia,Switzerland,,,21,14,2,3,A,,,,42,50,14,17,4,4,0,1,0,0,42.0,58.0,2.46,3.42,7.9,4.11,2.42,1,0,0,0,0,search_results,2026-06-21 04:23:39
2022-12-02_Cameroon_Brazil,2022-12-02,worldcup,2022,FIFA World Cup 2022,group,Group G,Cameroon,Brazil,,,25,1,1,0,H,,,,17,15,5,5,3,2,0,3,0,0,58.0,42.0,1.49,0.1,2.31,4.08,7.6,1,0,0,0,0,search_results,2026-06-21 04:23:39
2022-12-03_Netherlands_USA,2022-12-03,worldcup,2022,FIFA World Cup 2022,round_of_16,,Netherlands,USA,,,6,11,3,1,H,,,,50,38,17,13,4,3,1,1,0,0,61.0,39.0,3.53,0.99,1.78,3.76,7.35,,,,,0,search_results,2026-06-21 04:23:39
2022-12-03_Argentina_Australia,2022-12-03,worldcup,2022,FIFA World Cup 2022,round_of_16,,Argentina,Australia,,,3,32,2,1,H,,,,32,27,11,9,4,3,3,3,0,0,58.0,42.0,2.11,1.45,2.23,4.26,6.76,,,,,0,search_results,2026-06-21 04:23:39
2022-12-04_France_Poland,2022-12-04,worldcup,2022,FIFA World Cup 2022,round_of_16,,France,Poland,,,4,22,3,1,H,,,,50,38,17,13,4,3,3,3,0,0,61.0,39.0,3.73,1.32,2.26,3.64,5.21,,,,,0,search_results,2026-06-21 04:23:39
2022-12-04_England_Senegal,2022-12-04,worldcup,2022,FIFA World Cup 2022,round_of_16,,England,Senegal,,,5,19,3,0,H,,,,50,35,17,12,4,2,3,1,0,0,64.0,36.0,3.37,0.27,2.0,3.88,6.64,,,,,0,search_results,2026-06-21 04:23:39
2022-12-05_Japan_Croatia,2022-12-05,worldcup,2022,FIFA World Cup 2022,round_of_16,,Japan,Croatia,,,20,7,1,1,D,,,,16,16,5,5,3,3,2,1,0,1,50.0,50.0,1.19,1.2,2.72,2.87,2.92,,,,,0,search_results,2026-06-21 04:23:39
2022-12-05_Brazil_Korea Republic,2022-12-05,worldcup,2022,FIFA World Cup 2022,round_of_16,,Brazil,Korea Republic,,,1,,4,1,H,,,,72,49,25,17,5,3,2,1,0,0,64.0,36.0,4.78,1.1,2.08,4.46,5.0,,,,,0,search_results,2026-06-21 04:23:39
2022-12-06_Morocco_Spain,2022-12-06,worldcup,2022,FIFA World Cup 2022,round_of_16,,Morocco,Spain,,,13,10,0,0,D,,,,5,5,1,1,2,2,1,2,1,0,50.0,50.0,0.1,0.1,2.72,2.9,2.68,,,,,0,search_results,2026-06-21 04:23:39
2022-12-06_Portugal_Switzerland,2022-12-06,worldcup,2022,FIFA World Cup 2022,round_of_16,,Portugal,Switzerland,,,9,14,6,1,H,,,,123,71,43,24,7,2,2,1,0,0,64.0,36.0,7.37,1.06,1.77,3.53,5.58,,,,,0,search_results,2026-06-21 04:23:39
2022-12-09_Croatia_Brazil,2022-12-09,worldcup,2022,FIFA World Cup 2022,quarter,,Croatia,Brazil,,,7,1,1,1,D,,,,16,16,5,5,3,3,2,4,0,0,50.0,50.0,1.07,1.36,3.33,3.09,3.28,,,,,0,search_results,2026-06-21 04:23:39
2022-12-09_Netherlands_Argentina,2022-12-09,worldcup,2022,FIFA World Cup 2022,quarter,,Netherlands,Argentina,,,6,3,2,2,D,,,,31,31,10,10,4,4,2,2,0,0,50.0,50.0,2.21,2.5,2.89,2.99,2.56,,,,,0,search_results,2026-06-21 04:23:39
2022-12-10_Morocco_Portugal,2022-12-10,worldcup,2022,FIFA World Cup 2022,quarter,,Morocco,Portugal,,,13,9,1,0,H,,,,17,15,5,5,3,2,2,2,0,0,58.0,42.0,1.24,0.1,1.7,4.18,5.48,,,,,0,search_results,2026-06-21 04:23:39
2022-12-10_England_France,2022-12-10,worldcup,2022,FIFA World Cup 2022,quarter,,England,France,,,5,4,1,2,A,,,,27,32,9,11,3,4,1,2,0,0,42.0,58.0,1.27,2.17,6.39,4.48,1.86,,,,,0,search_results,2026-06-21 04:23:39
2022-12-13_Argentina_Croatia,2022-12-13,worldcup,2022,FIFA World Cup 2022,semi,,Argentina,Croatia,,,3,7,3,0,H,,,,50,35,17,12,4,2,1,1,0,0,64.0,36.0,3.9,0.1,1.56,4.06,5.58,,,,,0,search_results,2026-06-21 04:23:39
2022-12-14_France_Morocco,2022-12-14,worldcup,2022,FIFA World Cup 2022,semi,,France,Morocco,,,4,13,2,0,H,,,,32,25,11,8,3,2,0,1,0,0,61.0,39.0,2.34,0.1,1.96,4.46,7.2,,,,,0,search_results,2026-06-21 04:23:39
2022-12-17_Croatia_Morocco,2022-12-17,worldcup,2022,FIFA World Cup 2022,third_place,,Croatia,Morocco,,,7,13,2,1,H,,,,32,27,11,9,4,3,1,3,1,0,58.0,42.0,2.12,1.21,2.17,4.15,7.62,,,,,0,search_results,2026-06-21 04:23:39
2022-12-18_Argentina_France,2022-12-18,worldcup,2022,FIFA World Cup 2022,final,,Argentina,France,,,3,4,3,3,D,,,,47,47,16,16,4,4,0,2,0,0,50.0,50.0,3.88,3.85,2.95,3.24,3.36,,,,,0,search_results,2026-06-21 04:23:39
2024-06-14_Germany_Scotland,2024-06-14,euro,2024,UEFA Euro 2024,group,Group A,Germany,Scotland,,,30,,5,1,H,,,,96,60,33,21,6,2,2,1,0,0,64.0,36.0,5.77,1.49,1.9,4.1,5.85,0,0,0,0,0,search_results,2026-06-21 04:24:02
2024-06-15_Hungary_Switzerland,2024-06-15,euro,2024,UEFA Euro 2024,group,Group A,Hungary,Switzerland,,,,28,1,3,A,,,,38,50,13,17,3,4,4,2,0,0,39.0,61.0,1.12,3.48,5.57,4.32,1.68,0,0,0,0,0,search_results,2026-06-21 04:24:03
2024-06-15_Spain_Croatia,2024-06-15,euro,2024,UEFA Euro 2024,group,Group B,Spain,Croatia,,,8,10,3,0,H,,,,50,35,17,12,4,2,0,0,1,0,64.0,36.0,3.77,0.1,1.69,3.65,6.8,0,0,0,0,0,search_results,2026-06-21 04:24:03
2024-06-15_Italy_Albania,2024-06-15,euro,2024,UEFA Euro 2024,group,Group B,Italy,Albania,,,9,,2,1,H,,,,32,27,11,9,4,3,1,1,0,0,58.0,42.0,2.57,1.38,2.19,4.23,5.16,0,0,0,0,0,search_results,2026-06-21 04:24:03
2024-06-16_Poland_Netherlands,2024-06-16,euro,2024,UEFA Euro 2024,group,Group D,Poland,Netherlands,,,22,6,1,2,A,,,,27,32,9,11,3,4,1,3,1,0,42.0,58.0,0.91,2.34,6.25,4.33,2.46,0,0,0,0,0,search_results,2026-06-21 04:24:03
2024-06-16_Slovenia_Denmark,2024-06-16,euro,2024,UEFA Euro 2024,group,Group C,Slovenia,Denmark,,,,29,1,1,D,,,,16,16,5,5,3,3,0,2,0,0,50.0,50.0,1.05,0.92,2.86,2.82,2.87,0,0,0,0,0,search_results,2026-06-21 04:24:03
2024-06-16_Serbia_England,2024-06-16,euro,2024,UEFA Euro 2024,group,Group C,Serbia,England,,,21,3,0,1,A,,,,15,17,5,5,2,3,1,1,0,0,42.0,58.0,0.27,1.4,7.54,4.46,2.14,0,0,0,0,0,search_results,2026-06-21 04:24:03
2024-06-17_Romania_Ukraine,2024-06-17,euro,2024,UEFA Euro 2024,group,Group E,Romania,Ukraine,,,,,3,0,H,,,,50,35,17,12,4,2,1,2,0,0,64.0,36.0,3.74,0.3,2.26,4.48,6.54,0,0,0,0,0,search_results,2026-06-21 04:24:03
2024-06-17_Belgium_Slovakia,2024-06-17,euro,2024,UEFA Euro 2024,group,Group E,Belgium,Slovakia,,,4,,0,1,A,,,,15,17,5,5,2,3,3,2,0,0,42.0,58.0,0.1,1.3,5.09,4.05,1.66,0,0,0,0,0,search_results,2026-06-21 04:24:03
2024-06-17_Austria_France,2024-06-17,euro,2024,UEFA Euro 2024,group,Group D,Austria,France,,,,2,0,1,A,,,,15,17,5,5,2,3,2,1,0,0,42.0,58.0,0.1,1.46,6.78,3.8,1.98,0,0,0,0,0,search_results,2026-06-21 04:24:03
2024-06-18_Turkey_Georgia,2024-06-18,euro,2024,UEFA Euro 2024,group,Group F,Turkey,Georgia,,,,,3,1,H,,,,50,38,17,13,4,3,2,1,0,0,61.0,39.0,3.72,1.42,2.29,4.38,6.63,0,0,0,0,0,search_results,2026-06-21 04:24:03
2024-06-18_Portugal_Czech Republic,2024-06-18,euro,2024,UEFA Euro 2024,group,Group F,Portugal,Czech Republic,,,7,,2,1,H,,,,32,27,11,9,4,3,2,2,0,1,58.0,42.0,2.3,1.1,1.58,3.85,6.94,0,0,0,0,0,search_results,2026-06-21 04:24:03
2024-06-19_Croatia_Albania,2024-06-19,euro,2024,UEFA Euro 2024,group,Group B,Croatia,Albania,,,10,,2,2,D,,,,31,31,10,10,4,4,2,1,0,1,50.0,50.0,2.32,2.22,3.5,3.21,2.6,0,0,0,0,0,search_results,2026-06-21 04:24:03
2024-06-19_Germany_Hungary,2024-06-19,euro,2024,UEFA Euro 2024,group,Group A,Germany,Hungary,,,30,,2,0,H,,,,32,25,11,8,3,2,0,5,0,0,61.0,39.0,2.44,0.1,2.35,3.91,6.62,0,1,0,0,0,search_results,2026-06-21 04:24:03
2024-06-19_Scotland_Switzerland,2024-06-19,euro,2024,UEFA Euro 2024,group,Group A,Scotland,Switzerland,,,,28,1,1,D,,,,16,16,5,5,3,3,1,1,0,0,50.0,50.0,1.09,1.37,3.35,2.82,2.76,1,0,0,0,0,search_results,2026-06-21 04:24:03
2024-06-20_Slovenia_Serbia,2024-06-20,euro,2024,UEFA Euro 2024,group,Group C,Slovenia,Serbia,,,,21,1,1,D,,,,16,16,5,5,3,3,0,0,0,0,50.0,50.0,0.9,1.12,2.56,3.29,2.99,0,1,0,0,0,search_results,2026-06-21 04:24:03
2024-06-20_Denmark_England,2024-06-20,euro,2024,UEFA Euro 2024,group,Group C,Denmark,England,,,29,3,1,1,D,,,,16,16,5,5,3,3,0,3,1,0,50.0,50.0,1.42,1.45,2.8,2.9,2.62,1,0,0,0,0,search_results,2026-06-21 04:24:03
2024-06-21_Slovakia_Ukraine,2024-06-21,euro,2024,UEFA Euro 2024,group,Group E,Slovakia,Ukraine,,,,,1,2,A,,,,27,32,9,11,3,4,0,1,0,0,42.0,58.0,1.22,2.57,7.4,3.92,2.3,0,1,0,0,0,search_results,2026-06-21 04:24:03
2024-06-21_Poland_Austria,2024-06-21,euro,2024,UEFA Euro 2024,group,Group D,Poland,Austria,,,22,,1,3,A,,,,38,50,13,17,3,4,3,3,0,0,39.0,61.0,1.16,3.86,6.03,3.58,2.26,0,0,0,0,0,search_results,2026-06-21 04:24:03
2024-06-21_Netherlands_France,2024-06-21,euro,2024,UEFA Euro 2024,group,Group D,Netherlands,France,,,6,2,0,0,D,,,,5,5,1,1,2,2,2,0,0,0,50.0,50.0,0.12,0.14,2.89,3.23,2.65,0,0,1,1,0,search_results,2026-06-21 04:24:03
2024-06-22_Georgia_Czech Republic,2024-06-22,euro,2024,UEFA Euro 2024,group,Group F,Georgia,Czech Republic,,,,,1,1,D,,,,16,16,5,5,3,3,1,1,0,0,50.0,50.0,1.02,1.12,3.41,3.16,2.96,0,0,0,0,0,search_results,2026-06-21 04:24:03
2024-06-22_Turkey_Portugal,2024-06-22,euro,2024,UEFA Euro 2024,group,Group F,Turkey,Portugal,,,,7,0,3,A,,,,35,50,12,17,2,4,0,1,0,0,36.0,64.0,0.1,3.45,6.4,4.05,2.0,0,0,1,1,0,search_results,2026-06-21 04:24:03
2024-06-22_Belgium_Romania,2024-06-22,euro,2024,UEFA Euro 2024,group,Group E,Belgium,Romania,,,4,,2,0,H,,,,32,25,11,8,3,2,1,0,0,0,61.0,39.0,2.53,0.1,1.79,3.58,7.3,1,0,0,0,0,search_results,2026-06-21 04:24:03
2024-06-23_Switzerland_Germany,2024-06-23,euro,2024,UEFA Euro 2024,group,Group A,Switzerland,Germany,,,28,30,1,1,D,,,,16,16,5,5,3,3,2,1,0,0,50.0,50.0,1.12,1.38,3.42,2.81,3.1,0,0,0,0,0,search_results,2026-06-21 04:24:03
2024-06-23_Scotland_Hungary,2024-06-23,euro,2024,UEFA Euro 2024,group,Group A,Scotland,Hungary,,,,,0,1,A,,,,15,17,5,5,2,3,0,3,0,0,42.0,58.0,0.18,1.46,5.09,4.06,1.74,0,1,0,0,0,search_results,2026-06-21 04:24:03
2024-06-24_Albania_Spain,2024-06-24,euro,2024,UEFA Euro 2024,group,Group B,Albania,Spain,,,,8,0,1,A,,,,15,17,5,5,2,3,0,1,0,0,42.0,58.0,0.25,1.46,7.98,3.79,1.98,1,0,0,0,0,search_results,2026-06-21 04:24:03
2024-06-24_Croatia_Italy,2024-06-24,euro,2024,UEFA Euro 2024,group,Group B,Croatia,Italy,,,10,9,1,1,D,,,,16,16,5,5,3,3,1,2,0,0,50.0,50.0,0.92,1.09,3.0,3.27,3.47,1,0,0,0,0,search_results,2026-06-21 04:24:03
2024-06-25_Netherlands_Austria,2024-06-25,euro,2024,UEFA Euro 2024,group,Group D,Netherlands,Austria,,,6,,2,3,A,,,,42,50,14,17,4,4,1,1,0,0,42.0,58.0,2.61,3.51,5.92,3.77,2.24,0,0,1,1,0,search_results,2026-06-21 04:24:03
